Date, SB,#, Scenario Description, Pre- Condition,Expected Results, Test Step ,Test data, User Role / Profile, Tester,Result,Comments,Remarks,Screenshots
,,TC-110,To verify selected bank is doing transaction.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Selected bank should process the complete transaction and give confirmation for successful transaction.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Bank"" option.
15. Enter the Bank in the Search field.
16. Select the bank from the list and complte the process for transaction.",,,Shivam,,,,
Challenges: New Challenge -> Free Trial (UPDATED),,,,,,,,,,,,,
,,TC-111,"To verify ""START YOUR FREE CHALLENGE"" display.",1. User should logged in and navigate to New Challlenge Page.,"When the user has completed the verification process successfully and free challenges are available, then the ""START YOUR FREE CHALLENGE"" button should be displayed in the Free trial tab.","1. Open the New Challenge page.
2. Verify the ""START YOUR FREE CHALLENGE"" button is displayed.",,,Shivam,,,,
,,TC-112,"To verify ""Number of Free Challenges"" info button.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""Info"" button, it should show an message: ""Free challenges can be obtained by either referring 3 verified users or using a free trial code. A maximum of 10 free challenges per user is allowed"".","1. Open the New Challenge page.
2. Click on the ""Info"" button and verify the message appears.",,,Shivam,,,,
,,TC-113,"To verify ""Available Free Challenges"" info button.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""Info"" button, it should show an message: ""This shows the number of free challenges currently available to you. You can earn more free challenges by referring at least 3 verified users"".","1. Open the New Challenge page.
2. Click on the ""Info"" button and verify the message appears.",,,Shivam,,,,
,,TC-114,"To verify ""Free Challenge Code"" field.",1. User should logged in and navigate to New Challlenge Page.,"Entering the valid code, it should add the 1 free challenge to the user's account and pop up message is displayed.","1. Open the New Challenge page.
2. Enter the valid code in the field.",,,Shivam,,,,
,,TC-115,"To verify ""NO AVAILABLE CHALLENGES"" button display.",1. User should logged in and navigate to New Challlenge Page.,"When the user does not have a single free challenge available, then the disabled ""NO AVAILABLE CHALLENGES"" button should be displayed.","1. Open the New Challenge page.
2. Verify the ""NO AVAILABLE CHALLENGES"" button is displayed.",,,Shivam,,,,
,,TC-116,"To verify ""NO AVAILABLE CHALLENGES"" button error message.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""NO AVAILABLE CHALLENGES"" button, it should display an error message: ""You have no available free challenges. You can earn challenges by referring at least 3 verified users to Nostro"".","1. Open the New Challenge page.
2. Click on the ""NO AVAILABLE CHALLENGES"" and verify the error message is displayed.",,,Shivam,,,,
,,TC-117,"To verify ""MAX ALLOCATION REACHED"" button display.",1. User should logged in and navigate to New Challlenge Page.,"When the user has already reached 10 free challenges, then the ""MAX ALLOCATION REACHED"" button should be visible in the free trial tab.","1. Open the New Challenge page.
2. Verify the ""MAX ALLOCATION REACHED"" button is visible.",,,Shivam,,,,
,,TC-118,"To verify ""MAX ALLOCATION REACHED"" button error message",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""MAX ALLOCATION REACHED"" button, it should show an error message: ""You have reached the maximum challenges and are no longer eligible for additional free challenges"".","1. Open the New Challenge page.
2. Click on the ""MAX ALLOCATION REACHED"" button and verify the error message appears.",,,Shivam,,,,
,,TC-119,"To verify ""START VERIFICATION"" button display.",1. User should logged in and navigate to New Challlenge Page.,"When the user has not done the verification process and free challenges are available, then the ""START VERIFICATION"" button should be displayed in the Free trial tab.","1. Open the New Challenge page.
2. Verify the ""START VERIFICATION"" button is displayed.",,,Shivam,,,,
,,TC-120,"To verify ""START VERIFICATION"" button is functional.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""START VERIFICATION"" button, it should navigate to Mobile Verfication page.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.",,,Shivam,,,,
,,TC-121,"To verify ""Verify Your Mobile Number"" Country code dropdown.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""Country Code"" dropdown, it should show the list of country codes to be selected.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown and verify the list appears.",,,Shivam,,,,
,,TC-122,"To verify ""Mobile Number"" field is functional.",1. User should logged in and navigate to New Challlenge Page.,"Entering the valid ""Mobile Number"" in the field, it should enable the ""Send Code"" button.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".",,,Shivam,,,,
,,TC-123,"To verify existing ""Mobile Number"" in database .",1. User should logged in and navigate to New Challlenge Page.,"If the entered mobile number is already exists in the database, then it should show an error message for ""Verification Failed"".","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the existing ""Mobile Number"" in the database.
5. Verify the ""Verification is failed.'",,,Shivam,,,,
,,TC-124,"To verify ""Send Code"" button is functinal.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""Send Code"" button, it should send the code to the entered mobile number and displays the verification code field.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.",,,Shivam,,,,
,,TC-125,To verify valid Verfication code.,1. User should logged in and navigate to New Challlenge Page.,"Entering the correct ""Verification Code"" in the field, it should display an popup message: ""Your code is verified successfully"" and enables the ""Next"" button.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code and verify the ""Next"" button is enabled.",,,Shivam,,,,
,,TC-126,To verify invalid Verfication code.,1. User should logged in and navigate to New Challlenge Page.,"Entering the incorrect ""Verification Code"" in the field, it should display an popup error message: ""Your verification code is incorrect.""  and ""Next"" button should be remain disabled.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the incorrect Verification code and verify the error message appears.
7. Verify the ""Next"" is disabled.",,,Shivam,,,,
,,TC-127,"To verify ""Next"" button is functional.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""Next"" button, it should navigate ""Social Media Verification"" page.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.",,,Shivam,,,,
,,TC-128,"To verify ""Social Media Verification"" page ""BACK"" button.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""BACK"" button, it should go to the previous page.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the ""BACK"" button.",,,Shivam,,,,
,,TC-129,"To verify Facebook ""CONNECT"" button. ",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""CONNECT""  button, it should connect the facebook profile and the button should be displayed as ""CONNECTED"".","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.",,,Shivam,,,,
,,TC-130,"To verify Instagram ""CONNECT"" button. ",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""CONNECT""  button, it should connect the Instagram profile and the button should be displayed as ""CONNECTED"".","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Instagram ""CONNECT"" button.",,,Shivam,,,,
,,TC-131,"To verify ""Social Media Verification"" page ""NEXT"" button is disable.",1. User should logged in and navigate to New Challlenge Page.,"""NEXT"" button should remain disabled, until atleast 2 Social media profile is being connected to Nostro.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Instagram ""CONNECT"" button.
9. Verify the ""NEXT"" button is disabled.",,,Shivam,,,,
,,TC-132,"To verify ""Social Media Verification"" page ""NEXT"" button is enable.",1. User should logged in and navigate to New Challlenge Page.,"""NEXT"" button should be enabled, if atleast 2 Social media profile is being connected to Nostro.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Verify the ""NEXT"" button is enabled. ",,,Shivam,,,,
,,TC-133,"To verify ""NEXT"" button is functional.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""NEXT"" button, it should navigate ""ID Upload and Verification"" page.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. ",,,Shivam,,,,
,,TC-134,"To verify  ""ID Upload and Verification"" page ""Click to Upload"" button.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""Click to Upload"" buton, it should open the iframe to select and upload the file. ","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.",,,Shivam,,,,
,,TC-135,To verify File Uploaded Successfully. ,1. User should logged in and navigate to New Challlenge Page.,Selecting and uploading file successfully should start the process to capture the file data by SUMSUB.,"1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.
12. Select and Upload the file.",,,Shivam,,,,
,,TC-136,To verify File Upload failed. ,1. User should logged in and navigate to New Challlenge Page.,"Uploading the file is failed, then it should display the red coloured highlighted error message: ""Upload failed, please try again"".","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.
12. Select and Upload the file.
13. Verify the upload failed. (For any reason)",,,Shivam,,,,
,,TC-137,To verify Capture File data displays correctly.,1. User should logged in and navigate to New Challlenge Page.,File data captured by SUMSUB should reflect the same in the screen below uploaded file.,"1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.
12. Select and Upload the file.
13. Verify the displayed data is correct.",,,Shivam,,,,
,,TC-138,"To verify ""BACK"" button is functional.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""BACK"" button, it go to the previous page.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""BACK"" button.",,,Shivam,,,,
,,TC-139,"To verify ""NEXT"" button is functional.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""NEXT"" button, it should display the iframe ""Analyzing your ID, please wait...""  with the timer reflecting the accurate percentage count.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.
12. Select and Upload the file.
13. Click on the ""NEXT"" button.",,,Shivam,,,,
,,TC-140,"To verify ""VERIFICATION COMPLETE!"" page displays.",1. User should logged in and navigate to New Challlenge Page.,"If the analyzing process is completed successfully, it should display the ""VERIFICATION COMPLETE!"" page.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.
12. Select and Upload the file.
13. Click on the ""NEXT"" button.
14. Wait for the process to complete successfully.
15. VerIfy the Verification complete page is displayed.",,,Shivam,,,,
,,TC-141,"To verify ""GO TO ACCOUNT"" button is functional.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""GO TO ACCOUNT"" button, it should navigate to the New Challenge page.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.
12. Select and Upload the file.
13. Click on the ""NEXT"" button.
14. Wait for the process to complete successfully.
15. Click on the ""GO TO ACCOUNT"" button.",,,Shivam,,,,
,,TC-142,"To verify ""VERIFICATION FAILED!"" page displays.",1. User should logged in and navigate to New Challlenge Page.,"If the analyzing process is interrupted/ failed, it should display the ""VERIFICATION FAILED!"" page.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.
12. Select and Upload the file.
13. Click on the ""NEXT"" button.
14. VerIfy the Verification failed page is displayed.",,,Shivam,,,,
,,TC-143,"To verify ""CONTACT SUPPORT"" button is functional.",1. User should logged in and navigate to New Challlenge Page.,"Clicking on the ""CONTACT SUPPORT"" button, it should navigate to Contact Support page.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.
12. Select and Upload the file.
13. Click on the ""NEXT"" button.
14. Click on the ""CONTACT SUPPORT"" button.",,,Shivam,,,,
,,TC-144,"To verify Free Trial tab display ""VERIFICATION FAILED"" button.",1. User should logged in and navigate to New Challlenge Page.,"When the Verfication process is failed, then the Free trial tab should displays the red colored ""VERIFICATION FAILED"" button.","1. Open the New Challenge page.
2. Click on the ""START VERIFICATION"" button.
3. Click on the ""Country Code"" dropdown.
4. Enter the valid ""Mobile Number"".
5. Click on the ""Send Code"" button.
6. Enter the Verification code.
7. Click on the ""Next"" button.
8. Click on the Facebook ""Coonect"" button.
9. Click on the Instagram ""CONNECT"" button.
10. Click on the ""NEXT"" button. 
11. Click on the ""Click to Upload"" button.
12. Select and Upload the file.
13. Click on the ""NEXT"" button.
14. Verify the Verfication failed page is displayed.
15. GO to the New Challenge page and verify the ""Verification Failed"" button is visible.",,,Shivam,,,,
Challenges: My Challenges,,,,,,,,,,,,,
,,TC-145,To verify the Account Balance Display (Negative Balance),"1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".",Negative Account Balance should be displayed in red text.,"1. Open the My Challenges page.
2. Click on the Account's dashboard button.
3. Verify the negative amount is displaying in red text.",,,Shivam,,,,
,,TC-146,To verify Active Accounts tabs display.,"1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".",Active Account tabs background should be displayed in white color.,"1. Open the My Challenges page.
2. Verify the Active account tabs displays White backgraound.",,,Shivam,,,,
,,TC-147,To verify Active Accounts details.,"1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".","Active Account tabs should display correct and appropriate details of specific account. 
(Evaluation Stages, Account Type, Current Stages, Total Profit bar)","1. Open the My Challenges page.
2. Verify the Active accoun tabs displays correct details of the account.",,,Shivam,,,,
,,TC-148,"To verify My Challenges page ""Dashboard"" button is functional.","1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".","Clicking on the ""Dashboard"" button, it should navigate to the ""Dashboard Funded"" page.","1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.",,,Shivam,,,,
,,TC-149,To verify Current Profit / Profit Target tile display correct balance.,"1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".",Current Profit / Profit Target tile should calculate and display the appropriate balance as per the account data.,"1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Verify the Current Profit / Profit Target tile details.",,,Shivam,,,,
,,TC-150,To verify Total Equity / Total Balance tile display correct equity.,"1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".","Total Equity / Total Balance tile should calculate and display exact equity and balance, also it should display the exact EOD equity.","1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Verify the Total Equity / Total Balance and EOD Equity amounts.",,,Shivam,,,,
,,TC-151,To verify Daily Drawdown tile.,"1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".",Daily Drawdown tile should calculate and display exact drawdown and equity amount.,"1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Verify the Daily Drawdown tile amounts.",,,Shivam,,,,
,,TC-152,To verify Maximum Drawdown tile.,"1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".",Maximum Drawdown tile should calculate and display exact drawdown and equity amount.,"1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Verify the Maximum Drawdown tile amounts.",,,Shivam,,,,
,,TC-153,To verify Daily Growth Chart.,"1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".",Daily Growth Chart should display the proper and correct graph according to day wise which is based on fluctuation of data on the server.,"1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Observe the Daily Growth Chart graph.",,,Shivam,,,,
,,TC-154,"To verify Daily Growth Chart ""Balance"" button.","1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".","Clicking on the ""Balance"" button, it should change the graph according to balance amounts and graph line color should turns faint..","1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Click on the ""Balance"" button and verify the changes in graphline color and graph.",,,Shivam,,,,
,,TC-155,"To verify Daily Growth Chart ""Equity"" button.","1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".","Clicking on the ""Equity"" button, it should change the graph according to equity amounts and graph line color should turns dark.","1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Click on the ""Equity"" button and verify the changes in graphline color and graph.",,,Shivam,,,,
,,TC-156,To verify Account's Detailed Analytics.,"1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".","The Monthly Analytics iframe should Monthly gain data fetch from the database and the bar chart should be same as the fetched data.

","1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Observe the bar chart for monthly gain.",,,Shivam,,,,
,,TC-157,"To verify ""Credentials"" button is functional.","1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".","Clicking on the ""Credentials"" button, it should open the iframe for Account Credentials.","1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Click on the ""Credentials"" button.",,,Shivam,,,,
,,TC-158,"To verify ""Account Credentials"" iframe.","1. User should logged in and navigate to the My Challenges page URL ""https://app.nostro.co/my-challenges "".","Account Credentials iframe should display: Account Number, Account Pasword, Account Currency, Account Type, Server Details and MT5 Installer fields.","1. Open the My Challenges page.
2. Click on the Account's ""Dashboard"" button.
3. Click on the ""Credentials"" button.",,,Shivam,,,,
Leaderboard,,,,,,,,,,,,,
,,TC-159,To verify correct display of top 10 accounts.,"1. User should logged in and navigate to the Leaderboard page URL ""https://app.nostro.co/leaderboard "".","Leaderboard page should display top 10 accounts with rank, username, profit, account size, gain percentage, trade statistics and country, wwhich is based on total gain.","1. Open the Leaderboard page.
2. Verify the data displaying is correct. ",,,Shivam,,,,
,,TC-160,To verify modifying of any data.,"1. User should logged in and navigate to the Leaderboard page URL ""https://app.nostro.co/leaderboard "".","Leaderboard page data should not be modified manually, it should fetched from server database.(Read only Data)","1. Open the Leaderboard page.
2. Try to change/modify data. ",,,Shivam,,,,
,,TC-161,To verify visual appearance of page.,"1. User should logged in and navigate to the Leaderboard page URL ""https://app.nostro.co/leaderboard "".","Leaderboard page layout should be clean, organized, and easy to read for the users.","1. Open the Leaderboard page.
2. Verify the alignment of columns and rows are correct. ",,,Shivam,,,,
,,TC-162,To verify Unauthorized access to leaderboard page.,"1. User should logged in and navigate to the Leaderboard page URL ""https://app.nostro.co/leaderboard "".",Access should be denied or redirected to login page.,"1. Open the Leaderboard page.
2. Try to access leaderboard without authentication/login.",,,Shivam,,,,
Tools: Advanced Chart,,,,,,,,,,,,,
 ,,TC-163,"To verify ""Advanced Chart"" is functional.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".",Advanced Chart should show the dotted lines for x-axis and y-axis with the target sign which is controllled to move the axis line.,"1. Open the Advanced Chart page.
2. Observe the Advanced Chart carefully and move the target on the chart.",,,Shivam,,,,
,,TC-164,"To verify all the data is reflecting from ""TradingView"" website.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","All the data in the advanced chart should be reflecting from ""TradeView"" servers., any external data should not reflect in the advanced chart.","1. Open the Advanced Chart page.
2. Confirm that the data is only coming from ""TradeView"" websites.",,,Shivam,,,,
,,TC-165,"To verify ""Symbol Search"" is functional.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Enter the valid input in the search field, it should reflect the data for the same in the chart.","1. Open the Advanced Chart page.
2. Enter the valid input in search field.",,,Shivam,,,,
,,TC-166,"To verify ""Add Symbol"" is functional.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the Add symbol, it should open the tab to create a shortcut button for an trade view of the company or stocks.","1. Open the Advanced Chart page.
2. Click on the ""Add Symbol"" button and create a shorctcut button.",,,Shivam,,,,
,,TC-167,To verify Time interval buttons.,"1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Time interval"" buttons, the data should be reflected as per the selected time only.
(Time Interval Buttons: 1m, 30m, 1h, 4h)","1. Open the Advanced Chart page.
2. Click on the Time Interval buttons and see the changes in the chart.",,,Shivam,,,,
,,TC-168,"To verify ""Bar view"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Bar view"" button, it should display the data in bar view graph.","1. Open the Advanced Chart page.
2. Click on the ""Bar view"" button.",,,Shivam,,,,
,,TC-169,"To verify ""Candle view"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Candle view"" button, it should display the data in Candle view graph.","1. Open the Advanced Chart page.
2. Click on the ""Candle view"" button.",,,Shivam,,,,
,,TC-170,"To verify ""Area View"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Area view"" button, it should display the data in area wise graph.","1. Open the Advanced Chart page.
2. Click on the ""Area view"" button.",,,Shivam,,,,
,,TC-171,"To verify ""Bar Style"" dropdown button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Bar Style"" dropdown button, it should show the list for viewwing the graph iin various styles.","1. Open the Advanced Chart page.
2. Click on the ""Bar Style"" dropdown button.",,,Shivam,,,,
,,TC-172,"To verify ""Indicatiors"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Indicators"" button, it shoud open an iframe to`showing the search field at the top, list of metrics and index.","1. Open the Advanced Chart page.
2. Click on the ""Indicators"" button.",,,Shivam,,,,
,,TC-173,"To verify ""Take a Snapshot"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Take a Snapshot"" button, it should display the two options for taking the snapshot.","1. Open the Advanced Chart page.
2. Click on the ""Take a Snapshot"" button.",,,Shivam,,,,
,,TC-174,"To verify ""Download image"" option.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Download image"" button, it should download the image and save it in user's system.","1. Open the Advanced Chart page.
2. Select the ""Download image"" option.",,,Shivam,,,,
,,TC-175,"To verify ""Copy Image"" option.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Copy image"" button, it should display snapshot image in the new tab with full preview.","1. Open the Advanced Chart page.
2. Select the ""Copy image"" option.",,,Shivam,,,,
,,TC-176,"To verify ""Zoom out"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Zoom out"" button, the chart should zoom out the chart view.","1. Open the Advanced Chart page.
2. Click on the ""Zoom out"" button.",,,Shivam,,,,
,,TC-177,"To verify ""Zoom in"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Zoom in"" button, the chart should zoom in the chart view.","1. Open the Advanced Chart page.
2. Click on the ""Zoom in"" button.",,,Shivam,,,,
,,TC-178,"To verify ""Scroll to the left"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Scroll to the left"" button, the chart view should be scrolled to the left side.","1. Open the Advanced Chart page.
2. Click on the ""Scroll to the left"" button.",,,Shivam,,,,
